n,x_n,y_n
219,-0.7947841,0.34490162
220,0.46054715,-0.23843523
221,0.46461962,0.13816414
222,0.83594419,0.13938589
223,0.16106212,0.25078326
224,1.2144658,0.048318636
225,-1.0165796,0.36433975
226,-0.082467903,-0.30497387
227,0.68550479,-0.024740371
228,0.31737609,0.20565144
229,1.0646328,0.095212826
230,-0.49160744,0.31938985
231,0.98104082,-0.14748223
232,-0.49489975,0.29431225
233,0.95141618,-0.14846993
234,-0.41573976,0.28542485
235,1.0434495,-0.12472193
236,-0.64902349,0.31303485
237,0.72331077,-0.19470705
238,0.072843105,0.21699323
239,1.2095647,0.021852932
240,-1.0264124,0.3628694
241,-0.11206203,-0.30792373
242,0.67449522,-0.033618609
243,0.32946007,0.20234857
244,1.050387,0.098838022
245,-0.44580011,0.31511611
246,1.0368833,-0.13374003
247,-0.63891775,0.31106498
248,0.73956273,-0.19167533
249,0.042590423,0.22186882
250,1.2193293,0.012777127
251,-1.0686924,0.36579879
252,-0.23314599,-0.32060772
253,0.60329241,-0.069943798
254,0.42050978,0.18098772
255,0.93342786,0.12615293
256,-0.093649663,0.28002836
257,1.26775,-0.028094899
258,-1.278161,0.380325
259,-0.90684865,-0.38344829
260,-0.53477254,-0.27205459
261,0.32757107,-0.16043176
262,0.68934431,0.09827132
263,0.43299751,0.20680329
264,0.94432172,0.12989925
265,-0.11854165,0.28329651
266,1.2636235,-0.035562495
267,-1.2710047,0.37908706
268,-0.88254719,-0.38130142
269,-0.47174678,-0.26476416
270,0.42367281,-0.14152403
271,0.60717785,0.12710184
272,0.61097092,0.18215336
273,0.65955371,0.18329128
274,0.57427574,0.19786611
275,0.73615643,0.17228272
276,0.41358591,0.22084693
277,0.9813723,0.12407577
278,-0.22425245,0.29441169
279,1.2240069,-0.067275736
280,-1.1647457,0.36720206
281,-0.53208336,-0.3494237
282,0.25421852,-0.15962501
283,0.74989711,0.076265556
284,0.2889816,0.22496913
285,1.1080546,0.086694481
286,-0.63220458,0.33241639
287,0.7728607,-0.18966137
288,-0.02590051,0.23185821
289,1.230919,-0.0077701529
290,-1.1289965,0.36927571
291,-0.41521066,-0.33869895
292,0.4199412,-0.1245632
293,0.62854595,0.12598236
294,0.57288435,0.18856378
295,0.72908871,0.17186531
296,0.42766682,0.21872661
297,0.96266814,0.12830005
298,-0.16912188,0.28880044
299,1.2487573,-0.050736563
300,-1.2338894,0.3746272
301,-0.75684923,-0.37016683
302,-0.17211588,-0.22705477
303,0.7314718,-0.051634765
304,0.19929384,0.21944154
305,1.1638363,0.059788151
306,-0.83653274,0.34915089
307,0.36944905,-0.25095982
308,0.55795053,0.11083472
309,0.6750024,0.16738516
310,0.52950562,0.20250072
311,0.80997403,0.15885169
312,0.24037058,0.24299221
313,1.162103,0.072111174
314,-0.81856552,0.3486309
315,0.41056158,-0.24556966
316,0.51844521,0.12316847
317,0.74686887,0.15553356
318,0.37459521,0.22406066
319,1.0276105,0.11237856
320,-0.365998,0.30828314
321,1.1207468,-0.1097994
322,-0.8683021,0.33622404
323,0.28069609,-0.26049063
324,0.62920296,0.084208827
325,0.52995392,0.18876089
326,0.79556927,0.15898618
327,0.27288354,0.23867078
328,1.1344192,0.081865061
329,-0.71980458,0.34032576
330,0.61495967,-0.21594137
331,0.25461307,0.1844879
332,1.093729,0.07638392
333,-0.59835634,0.32811869
334,0.82687626,-0.1795069
335,-0.13672099,0.24806288
336,1.2218932,-0.041016296
337,-1.1312485,0.36656796
338,-0.42504441,-0.33937454
339,0.40769761,-0.12751332
340,0.6397824,0.12230928
341,0.54925915,0.19193472
342,0.76957486,0.16477775
343,0.3356341,0.23087246
344,1.0731621,0.10069023
345,-0.51165743,0.32194863
346,0.95543798,-0.15349723
347,-0.43150365,0.28663139
348,1.0259578,-0.12945109
349,-0.60307637,0.30778735
350,0.79860581,-0.18092291
351,-0.073802636,0.23958174
352,1.2319562,-0.022140791
353,-1.1469432,0.36958685
354,-0.47208345,-0.34408297
355,0.34390914,-0.14162503
356,0.69279207,0.10317274
357,0.43122754,0.20783762
358,0.94749755,0.12936826
359,-0.12748399,0.28424927
360,1.2614962,-0.038245197
361,-1.266167,0.37844887
362,-0.86600167,-0.37985011
363,-0.42979256,-0.2598005
364,0.4815892,-0.12893777
365,0.54636281,0.14447676
366,0.72655951,0.16390884
367,0.42486463,0.21796785
368,0.96525391,0.12745939
369,-0.17694177,0.28957617
370,1.2457444,-0.053082531
371,-1.2257134,0.37372333
372,-0.72959929,-0.36771401
373,-0.11295518,-0.21887979
374,0.76325779,-0.033886555
375,0.15052601,0.22897734
376,1.197256,0.045157803
377,-0.96163299,0.35917681
378,0.064543607,-0.2884899
379,0.70567788,0.019363082
380,0.32218931,0.21170336
381,1.066375,0.096656794
382,-0.49536119,0.31991251
383,0.97637672,-0.14860836
384,-0.48324445,0.29291301
385,0.96597774,-0.14497333
386,-0.45133153,0.28979332
387,1.0046131,-0.13539946
388,-0.54834596,0.30138393
389,0.88042733,-0.16450379
390,-0.24971699,0.2641282
391,1.1768262,-0.074915096
392,-1.013803,0.35304786
393,-0.085867141,-0.30414089
394,0.68553668,-0.025760142
395,0.3162951,0.205661
396,1.0656014,0.09488853
397,-0.49482029,0.31968041
398,0.97689445,-0.14844609
399,-0.48449795,0.29306833
400,0.96443476,-0.14534939
401,-0.44753756,0.28933043
402,1.0089246,-0.13426127
403,-0.55936171,0.30267739
404,0.86463766,-0.16780851
405,-0.2144461,0.2593913
406,1.1950093,-0.06433383
407,-1.0636,0.35850279
408,-0.22524015,-0.31908
409,0.60989363,-0.067572045
410,0.41166963,0.18296809
411,0.94570745,0.12350089
412,-0.12860673,0.28371224
413,1.2605567,-0.038582019
414,-1.2631864,0.378167
415,-0.85572875,-0.37895591
416,-0.40413629,-0.25671863
417,0.51462477,-0.12124089
418,0.50798499,0.15438743
419,0.79311918,0.1523955
420,0.27174225,0.23793575
421,1.1345544,0.081522674
422,-0.72057638,0.34036631
423,0.61344386,-0.21617291
424,0.25698837,0.18403316
425,1.0915729,0.07709651
426,-0.59104753,0.32747188
427,0.83839982,-0.17731426
428,-0.16139421,0.25151994
429,1.2150526,-0.048418264
430,-1.1153123,0.36451578
431,-0.37697425,-0.33459368
432,0.4664529,-0.11309228
433,0.5822981,0.13993587
434,0.66523636,0.17468943
435,0.55513424,0.19957091
436,0.76812727,0.16654027
437,0.34051297,0.23043818
438,1.0681095,0.10215389
439,-0.49504707,0.32043284
440,0.9773326,-0.14851412
441,-0.48576474,0.29319978
442,0.96284544,-0.14572942
443,-0.4436293,0.28885363
444,1.0133239,-0.13308879
445,-0.57064422,0.30399717
446,0.84810841,-0.17119327
447,-0.17819628,0.25443252
448,1.209977,-0.053458884
449,-1.1031211,0.36299311
450,-0.34063352,-0.33093633
451,0.50662,-0.10219005
452,0.53848059,0.151986
453,0.74604012,0.16154418
454,0.38233798,0.22381203
455,1.0191568,0.11470139
456,-0.33945134,0.30574703
457,1.1444289,-0.1018354
458,-0.93544002,0.34332868
459,0.11826144,-0.28063201
460,0.69978792,0.035478432
461,0.34989405,0.20993638
462,1.0385402,0.10496821
463,-0.40502381,0.31156206
464,1.0819001,-0.12150714
465,-0.76021798,0.32457002
466,0.5154661,-0.22806539
467,0.39994719,0.15463983
468,0.93069897,0.11998416
469,-0.092696652,0.27920969
470,1.26718,-0.027808996
471,-1.275852,0.38015399
472,-0.89876384,-0.38275561
473,-0.51364264,-0.26962915
474,0.36101058,-0.15409279
475,0.66344711,0.10830317
476,0.49207628,0.19903413
477,0.86003944,0.14762288
478,0.1120879,0.25801183
479,1.2404227,0.03362637
480,-1.1204813,0.3721268
481,-0.38554303,-0.3361444
482,0.45575479,-0.11566291
483,0.59353968,0.13672644
484,0.64352134,0.17806191
485,0.59829431,0.1930564
486,0.69191789,0.17948829
487,0.50923778,0.20757537
488,0.84452301,0.15277133
489,0.15426458,0.2533569
490,1.2200403,0.046279375
491,-1.0376183,0.36601209
492,-0.14130047,-0.3112855
493,0.66076235,-0.04239014
494,0.34636023,0.1982287
495,1.0302771,0.10390807
496,-0.38215128,0.30908314
497,1.1046277,-0.11464538
498,-0.82292867,0.33138831
499,0.38329208,-0.2468786
500,0.54744345,0.11498762
